,hotel_id,date,rating,comment
0,ChIJhd6ATRj_3Q8R7nqmtm6INVI,2023-05-01T08:53:17.543Z,4.0,
1,ChIJhd6ATRj_3Q8R7nqmtm6INVI,2023-02-10T09:25:21.640Z,5.0,I had a wonderful experience at Jonat Hotel. Their rooms are new and their services are top-notch . I definitely recommend it to anyone visiting Cape Coast 🙏🏿
2,ChIJhd6ATRj_3Q8R7nqmtm6INVI,2023-01-23T16:02:18.862Z,5.0,"I enjoyed my stay here. For a serene environment, choose Jonat Hotel."
3,ChIJhd6ATRj_3Q8R7nqmtm6INVI,2023-01-23T07:27:23.598Z,5.0,"The couple of times I have been there, were very peaceful times and I really enjoyed the serenity and the  calm ambiance of the place.
Really nice rooms and affordable as well."
4,ChIJhd6ATRj_3Q8R7nqmtm6INVI,2023-01-23T06:19:51.128Z,5.0,Everything there was nice and super clean 👍👍👍
5,ChIJhd6ATRj_3Q8R7nqmtm6INVI,2023-01-22T16:07:27.958Z,4.0,I had a splendid stay at Jonat Hotel. It might be new but the service there was great and the food was delish
6,ChIJU9N0DWz_3Q8Rg0eDgnarV8Y,2023-05-05T09:44:47.918Z,4.0,"Staff provide warm reception, neat rooms, and room service available."
7,ChIJU9N0DWz_3Q8Rg0eDgnarV8Y,2022-10-24T08:23:42.636Z,3.0,It’s a nice place to stay at. Pretty clean and the prices of the rooms are great. They also serve everyone breakfast which is a plus.
8,ChIJU9N0DWz_3Q8Rg0eDgnarV8Y,2022-08-13T09:04:15.861Z,5.0,
9,ChIJU9N0DWz_3Q8Rg0eDgnarV8Y,2022-05-17T18:14:12.829Z,4.0,
10,ChIJU9N0DWz_3Q8Rg0eDgnarV8Y,2022-05-02T07:20:20.379Z,3.0,
11,ChIJU9N0DWz_3Q8Rg0eDgnarV8Y,2022-04-09T11:40:18.426Z,5.0,"The Drowaa Plus Hotel is a the go-to place for stop by for a night's sleep. Great designs in room with great ventilation (AC & Fan) rooms etc.

I recommend this place to all organizing events and looking for a great place to lodge."
12,ChIJU9N0DWz_3Q8Rg0eDgnarV8Y,2022-02-15T13:20:15.479Z,3.0,
13,ChIJU9N0DWz_3Q8Rg0eDgnarV8Y,2022-01-02T19:36:42.476Z,5.0,
14,ChIJU9N0DWz_3Q8Rg0eDgnarV8Y,2020-10-05T07:24:26.760Z,4.0,
15,ChIJU9N0DWz_3Q8Rg0eDgnarV8Y,2020-03-16T10:16:05.970Z,4.0,Very quite location in Cape Coast.
16,ChIJU9N0DWz_3Q8Rg0eDgnarV8Y,2019-10-20T12:36:04.534Z,5.0,
17,ChIJU9N0DWz_3Q8Rg0eDgnarV8Y,2019-04-13T23:26:08.565Z,5.0,In town ...around IBB
18,ChIJA0RtJd7-3Q8Rp9cBaQMA_9o,2023-05-04T15:39:18.524Z,1.0,
19,ChIJA0RtJd7-3Q8Rp9cBaQMA_9o,2023-04-30T08:46:29.503Z,2.0,
20,ChIJA0RtJd7-3Q8Rp9cBaQMA_9o,2023-01-22T16:46:28.690Z,2.0,The rooms are beautiful. Elegant designs. But the washrooms are in poor condition. And poor customer service.
21,ChIJA0RtJd7-3Q8Rp9cBaQMA_9o,2020-03-14T18:24:38.278Z,5.0,
22,ChIJA0RtJd7-3Q8Rp9cBaQMA_9o,2019-08-12T14:21:58.276Z,5.0,"had a few drinks at their pub. place holds sentimental value as well for me, as my old junior high  is only half a kilometre away. friendly and accommodating staff"
23,ChIJA0RtJd7-3Q8Rp9cBaQMA_9o,2018-12-10T14:03:27.303Z,5.0,
24,ChIJA0RtJd7-3Q8Rp9cBaQMA_9o,2018-11-08T16:34:29.536Z,4.0,Close to the beach
25,ChIJA0RtJd7-3Q8Rp9cBaQMA_9o,2017-09-20T13:01:21.937Z,2.0,Not in good condition at the moment. It has been left without any form of maintenance.
26,ChIJA0RtJd7-3Q8Rp9cBaQMA_9o,2017-04-20T17:20:33.101Z,5.0,Its a nice place to be
27,ChIJA0RtJd7-3Q8Rp9cBaQMA_9o,2015-05-02T08:06:30.962Z,5.0,"This is a great establishment, and striving part of the community. This is the place to have alll types of loving events.

Thanks for everyone in the community."
28,ChIJA2dVyhKc5w8RzaeO_CSow8E,2023-05-14T17:18:07.326Z,5.0,
29,ChIJA2dVyhKc5w8RzaeO_CSow8E,2023-02-13T10:52:25.498Z,5.0,"We spent there only saturday, but place is magic :)"
30,ChIJA2dVyhKc5w8RzaeO_CSow8E,2023-02-12T18:38:24.743Z,4.0,
31,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-11-23T11:12:18.575Z,5.0,Unique conjunction of pristine beach and good food
32,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-10-09T19:42:17.639Z,5.0,
33,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-10-08T15:59:43.578Z,5.0,Wonderfull..nothing else
34,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-08-01T06:38:28.895Z,4.0,"Situado num local paradisíaco. Muito sossegado, bela paisagem.
O acesso não é fácil, mas o que é bom nunca é fácil."
35,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-06-27T08:00:30.055Z,3.0,
36,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-06-14T11:08:44.183Z,5.0,Excellent place 👍😁
37,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-06-05T20:12:56.425Z,5.0,
38,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-05-09T13:19:03.758Z,5.0,"Endroit magnifique, logements confortables, cuisine gustative et raffinée, accueil aux petits soins."
39,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-05-09T07:04:52.260Z,5.0,"Fantas Folly is our favourite place to spend a relaxing time at. Philip and Fanta are wonderful hosts, and always spend time to make you feel welcome. The food is great and good value for money. The rooms are comfortable and well thought out. The location is a piece of Paradise on Earth. We have a lot of wonderful memories of our time spent at Fantas. Highly recommended."
40,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-05-06T09:46:17.782Z,5.0,Es bleibt kein Wunsch unerfüllt!!! Ein kleines Paradies auf Erden!!!!
41,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-05-05T15:45:31.934Z,4.0,
42,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-04-15T07:44:16.503Z,1.0,"Very poor service I received from fantas folly. Food took more than 2 hours and waiters were not smart too. They could not even recommend to me which of their listed food on menu is the best, one of the waitress mentioned she cannot recommend because it is not allowed. Their appearance was off for me also. Imagine going on a long journey and been given a poor service it was just heart breaking."
43,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-04-14T13:12:54.597Z,5.0,
44,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-03-13T14:27:54.444Z,1.0,"This is the worse place, I have ever been too!! They are very rude, the service is very bad. The owner and his wife wanted to fight with costumers, never go there if you want to have a good time."
45,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-03-08T07:24:35.263Z,4.0,"Ein idyllisches Plätzchen, europäische Küche, leider nur sehr schwer zu erreichen. Möglichst ein Off-road Auto benutzen!"
46,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-02-12T04:58:58.562Z,3.0,"Nice place, very quiet, peaceful and amazing views.
The only minus was that the water from the shower and tap was not clean at all and it couldn't be used (big minus)"
47,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-02-01T15:48:27.186Z,4.0,"This is the best get away from the hectic traffic busyness and dirty beaches in Accra.   Though it is said that the road that leads to heaven is narrow, get ready for the narrow drive haha but it worths it at the end. Clean environment, good for groups , good for couples to spend quality time together. Good for family vacation, good for kids , good for long walks by the beach. I strongly recommend"
48,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-01-19T03:28:52.051Z,3.0,Very nice beach
49,ChIJA2dVyhKc5w8RzaeO_CSow8E,2022-01-15T23:49:39.093Z,4.0,
